year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,110.01,34.54,62.88,50.92,357.64,66.02,40.71,16.67,4.45,188.32,139.2,21.64,11.31,191.38,204.68,62.93,69.19,117.87,207.13,19.03,70.23,83.48,180.48,78.47,48.53,102.26,26.96,32.91,30.65,14.71,108.44,53.14,207.26,111.07,44.61,245.01,87.46,30.05,262.75,8.87,60.43,11.84,104.43,606.62,54.19,5.47,94.92,66.06,103.35,85.67,56.87
1991,114.39,35.16,63.79,49.84,345.31,67.29,39.89,17.46,4.39,189.52,131.27,19.64,12.01,191.39,201.28,64.97,67.82,118.12,206.13,18.56,69.03,82.22,179.02,78.51,48.32,102.51,28.18,33.77,32.56,14.32,109.52,48.98,199.58,110.9,45.59,243.49,88.88,33.86,255.25,10.78,61.79,11.52,99.9,603.08,53.07,5.65,96.2,67.02,95.69,87.99,55.19
1992,121.04,36.58,66.61,51.45,349.49,68.27,40.18,16.29,4.36,191.85,130.67,20.66,11.29,186.93,197.68,63.52,65.48,120.99,213.81,19.36,66.81,84.09,177.78,79.87,48.3,101.79,29.29,32.64,33.56,14.43,115.94,51.5,198.02,121.15,47.3,247.67,91.8,34.65,263.55,13.03,60.67,11.63,105.27,608.7,54.64,6.11,97.33,73.43,97.28,87.08,60.89
1993,125.63,36.43,68.85,50.52,338.89,71.98,38.19,17.73,4.54,194.93,139.93,18.93,12.41,203.4,202.47,67.6,70.94,132.08,216.52,18.88,69.26,81.2,177.96,84.34,50.51,100.31,27.31,35.93,33.93,14.92,112.37,52.22,193.31,126.77,47.56,252.37,94.82,34.96,267.55,10.81,65.46,12.3,116.1,624.25,56.41,6.17,101.62,70.5,98.37,90.23,57.92
1994,123.56,36.26,71.56,54.41,354.9,72.39,37.46,17.05,4.51,202.26,142.78,20.3,12.55,203.53,201.98,68.66,71.28,129.99,223.51,20.28,70.3,81.33,185.67,85.89,50.3,107.74,29.98,35.87,36.19,14.98,122.18,52.17,191.25,122,47.88,248.66,93.4,36.54,264.86,12.8,65.57,12.94,110.68,628.86,57.45,5.99,100.47,74.72,105.88,93.37,60.11
1995,131.34,40.86,66.52,57.78,343.8,72.46,36.77,16.09,4.42,207.52,151.14,20.25,13.34,207.66,207.4,72.23,68.76,135.52,223.68,18.94,69.78,78.6,188.57,88.67,51.71,115.04,29.64,38.43,35.35,15.07,121.61,50.75,196.81,128.37,47.81,251.01,94.34,33.91,267.33,12.06,64.6,12.74,117.55,633.23,57.8,5.96,102.77,72.91,104.35,96.3,57.91
1996,137.34,41.78,68.29,60.36,342.36,75.32,39.56,16.7,4.38,213.05,155.32,19.22,13.95,221.35,211.8,74.15,74.27,136.71,228.78,19.45,71.91,79.28,193.91,93.47,54.58,121.23,26.78,39.57,37.98,15.29,120.78,52.3,199.39,140.29,48.67,263.43,96.86,35.97,273.21,13.47,68.61,12.71,118.29,679.4,58.58,6.25,107.36,75.77,106.98,100.45,59.26
1997,134.14,41.83,71.36,59.3,344.74,75.43,42.55,15.3,4.25,218.08,156.22,18.67,13.76,224.6,215.89,73.44,71.25,141.1,236.56,19.67,72.24,85.37,191.13,91.07,55.41,124.89,28.87,40.87,37.9,16.55,122.3,55.62,203.8,142.66,47.29,258.87,98.22,35.66,274.39,13.54,71.03,13.21,121.67,704.01,60.67,6.45,109.5,75.09,110.55,102.99,58.59
1998,133.41,42.91,76.29,60.69,355.14,77.71,40.2,14.88,4.07,230.99,157.31,18.73,14,214.74,216.63,77.27,70.29,138.44,223.66,19.32,74.89,83.38,190.23,91.09,56.35,129.05,30.46,42.87,40.56,16.58,118.08,55.13,202.12,141.98,48.48,257.2,96.61,40.86,263.23,13.8,73.73,12.78,120.17,716.99,63.06,6.21,111.44,75.61,113.96,100.93,63.44
1999,135.93,43.48,80.19,62.93,358.77,79.58,41.4,15.07,4.15,230.5,159.94,18.43,14.87,224.69,222.73,78.36,73.86,142.62,222.52,20.35,77.37,80.97,198.37,91.89,61.35,129.55,30.94,41.71,41.18,16.73,121.97,56.12,204.08,140.46,49.55,256.34,96.06,41.88,261.78,13.16,76.84,13.4,120.78,693.96,61.95,6.46,113.56,75.77,114.79,105.29,62.02
